item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,no
90446619,HÖGSMA,Trolleys,49,No old price,TRUE,https://www.ikea.com/sa/en/p/hoegsma-chopping-board-bamboo-90446619/,No,"        Chopping board,          42x31 cm",IKEA of Sweden,,,30,3265
89303956,BROR,Bookcases & shelving units,515,No old price,TRUE,https://www.ikea.com/sa/en/p/bror-shelving-unit-white-s89303956/,No,"        Shelving unit,          85x40x190 cm",IKEA of Sweden,40,190,85,555
